Aéroport,lat,lng
AGEN,44.17,0.59
AJACCIO,41.92,8.80
ANGERS,47.56,-0.31
ANGOULEME,45.73,0.22
ANNECY,45.93,6.11
AURILLAC,44.90,2.42
AVIGNON,43.91,4.90
BALE-MULHOUSE,47.59,7.53
BASTIA,42.55,9.48
BEAUVAIS,49.45,2.11
BERGERAC,44.82,0.52
BEZIERS,43.32,3.35
BIARRITZ,43.47,-1.53
BORDEAUX,44.83,-0.80
BREST,48.45,-4.42
BRIVE,45.04,1.48
CAEN,49.17,-0.45
CALVI,42.52,8.79
CARCASSONNE,43.22,2.31
CASTRES-MAZAMET,43.55,2.29
CHALONS,48.77,4.06
CHAMBERY,45.64,5.88
CHERBOURG,49.65,-1.50
CLERMONT-FERRAND,45.79,3.16
DIJON,47.27,5.09
EPINAL,48.33,6.07
FIGARI,41.50,9.10
GRENOBLE,45.36,5.33
LA-ROCHELLE,46.18,-1.20
LANNION,48.76,3.47
LE-HAVRE,49.53,0.09
LE-PUY-EN-VELAY,45.08,3.76
LILLE,50.56,3.09
LIMOGES,45.86,1.18
LORIENT,47.76,-3.44
LYON,45.73,5.08
MARSEILLE,43.44,5.21
METZ-NANCY,48.98,6.25
MONTPELLIER,43.58,3.96
NANTES,47.16,-1.61
NICE,43.67,7.21
NIMES,43.76,4.42
PARIS,48.72,2.38
PARIS-LE-BOURGET,48.97,2.44
PAU,43.38,-0.42
PERIGUEUX,45.20,0.82
PERPIGNAN,42.74,2.87
POITIERS,46.59,0.31
QUIMPER,47.98,2.00
RENNES,48.07,-1.73
ROANNE,46.05,4.00
RODEZ,44.05,2.48
ROUEN,49.39,1.18
ST-BRIEUC,48.54,-2.86
ST-ETIENNE,45.53,4.30
ST-NAZAIRE,47.31,-2.16
STRASBOURG,48.54,7.63
TARBES,43.19,0.00
TOULON,43.10,6.15
TOULOUSE,43.63,1.37
TOURS,47.43,0.72
