id,Annee,Origine,Destination,lat_Origine,lng_Origine,lat_Destination,lng_Destination,Dessertes,Pax_Total,Pax_reg,Pax_Non_rég,Fret_Total
1,2014,AJACCIO,BALE-MULHOUSE,41.92,8.8,47.59,7.53,206,27494,27355,139,0
2,2019,AJACCIO,BALE-MULHOUSE,41.92,8.8,47.59,7.53,382,57525,57466,59,0
3,2019,AJACCIO,BEAUVAIS,41.92,8.8,49.45,2.11,52,7010,7010,0,0
4,2009,AJACCIO,BORDEAUX,41.92,8.8,44.83,-0.8,149,11555,6062,5493,NA
5,2014,AJACCIO,BORDEAUX,41.92,8.8,44.83,-0.8,539,45132,44835,297,0
6,2019,AJACCIO,BORDEAUX,41.92,8.8,44.83,-0.8,532,74937,74937,0,0
7,2014,AJACCIO,BREST,41.92,8.8,48.45,-4.42,148,13109,13055,54,0
8,2019,AJACCIO,BREST,41.92,8.8,48.45,-4.42,118,15487,15294,193,0
9,2014,AJACCIO,CAEN,41.92,8.8,49.17,-0.45,105,10599,10501,98,0
10,2019,AJACCIO,CAEN,41.92,8.8,49.17,-0.45,250,31777,31713,64,0
11,2009,AJACCIO,LILLE,41.92,8.8,50.56,3.09,144,12004,11406,598,NA
12,2014,AJACCIO,LILLE,41.92,8.8,50.56,3.09,236,24213,23618,595,0
13,2019,AJACCIO,LILLE,41.92,8.8,50.56,3.09,327,40237,39981,256,0
14,1999,AJACCIO,LYON,41.92,8.8,45.73,5.08,451,35897,23976,11921,1
15,2004,AJACCIO,LYON,41.92,8.8,45.73,5.08,1001,54005,50072,3933,1
16,2009,AJACCIO,LYON,41.92,8.8,45.73,5.08,552,27387,22963,4424,NA
17,2014,AJACCIO,LYON,41.92,8.8,45.73,5.08,464,50479,50219,260,0
18,2019,AJACCIO,LYON,41.92,8.8,45.73,5.08,862,101967,101932,35,1
19,1999,AJACCIO,MARSEILLE,41.92,8.8,43.44,5.21,4167,247172,246416,756,1897.9
20,2004,AJACCIO,MARSEILLE,41.92,8.8,43.44,5.21,3723,253134,251782,1352,3990
21,2009,AJACCIO,MARSEILLE,41.92,8.8,43.44,5.21,3925,264624,263832,792,3693.1
22,2014,AJACCIO,MARSEILLE,41.92,8.8,43.44,5.21,3341,242534,242146,388,4755
23,2019,AJACCIO,MARSEILLE,41.92,8.8,43.44,5.21,3323,253218,252282,936,7026
24,1999,AJACCIO,MONTPELLIER,41.92,8.8,43.58,3.96,1504,27238,27208,30,1261.4
25,2014,AJACCIO,MONTPELLIER,41.92,8.8,43.58,3.96,96,5700,5405,295,0
26,2019,AJACCIO,MONTPELLIER,41.92,8.8,43.58,3.96,94,13442,13442,0,0
27,1999,AJACCIO,NANTES,41.92,8.8,47.16,-1.61,269,33855,NA,33855,0
28,2004,AJACCIO,NANTES,41.92,8.8,47.16,-1.61,210,21186,16271,4915,0.1
29,2009,AJACCIO,NANTES,41.92,8.8,47.16,-1.61,264,24622,8519,16103,4.5
30,2014,AJACCIO,NANTES,41.92,8.8,47.16,-1.61,695,73072,73008,64,0
31,2019,AJACCIO,NANTES,41.92,8.8,47.16,-1.61,794,111333,110837,496,0
32,1999,AJACCIO,NICE,41.92,8.8,43.67,7.21,3215,148608,147797,811,172.6
33,2004,AJACCIO,NICE,41.92,8.8,43.67,7.21,2598,120075,119534,541,118.9
34,2009,AJACCIO,NICE,41.92,8.8,43.67,7.21,2727,116506,116385,121,11.3
35,2014,AJACCIO,NICE,41.92,8.8,43.67,7.21,2407,108105,107999,106,61
36,2019,AJACCIO,NICE,41.92,8.8,43.67,7.21,1952,107723,107507,216,17
37,2014,AJACCIO,STRASBOURG,41.92,8.8,48.54,7.63,170,13838,13838,0,0
38,2019,AJACCIO,STRASBOURG,41.92,8.8,48.54,7.63,270,31668,31668,0,0
39,1999,AJACCIO,TOULOUSE,41.92,8.8,43.63,1.37,189,16750,NA,16750,0
40,2004,AJACCIO,TOULOUSE,41.92,8.8,43.63,1.37,153,10665,6573,4092,0.5
41,2009,AJACCIO,TOULOUSE,41.92,8.8,43.63,1.37,135,10282,5642,4640,NA
42,2014,AJACCIO,TOULOUSE,41.92,8.8,43.63,1.37,479,39950,39888,62,0
43,2019,AJACCIO,TOULOUSE,41.92,8.8,43.63,1.37,438,48365,48359,6,0
44,1999,ANGERS,CLERMONT-FERRAND,47.56,-0.31,45.79,3.16,1007,15504,15504,NA,3
45,1999,ANGOULEME,CLERMONT-FERRAND,45.73,0.22,45.79,3.16,940,14181,14181,NA,2
46,2009,BALE-MULHOUSE,BORDEAUX,47.59,7.53,44.83,-0.8,133,16109,16013,96,NA
47,1999,BALE-MULHOUSE,BORDEAUX,47.59,7.53,44.83,-0.8,705,16438,16398,40,14
48,2009,BALE-MULHOUSE,LYON,47.59,7.53,45.73,5.08,1465,36978,36978,0,0.2
49,2009,BALE-MULHOUSE,MARSEILLE,47.59,7.53,43.44,5.21,1048,27788,27717,71,NA
50,2009,BALE-MULHOUSE,NICE,47.59,7.53,43.67,7.21,733,90783,90542,241,NA
51,1999,BALE-MULHOUSE,CLERMONT-FERRAND,47.59,7.53,45.79,3.16,1068,23062,23055,7,2
52,2004,BALE-MULHOUSE,CLERMONT-FERRAND,47.59,7.53,45.79,3.16,740,12237,12237,0,1
