tra_meas,ville,date,n,annee,mois
ACM,AGEN,2010M01,101,2010,1
ACM,AGEN,2010M02,103,2010,2
ACM,AGEN,2010M03,140,2010,3
ACM,AGEN,2010M04,114,2010,4
ACM,AGEN,2010M05,132,2010,5
ACM,AGEN,2010M06,156,2010,6
ACM,AGEN,2010M07,120,2010,7
ACM,AGEN,2010M08,24,2010,8
ACM,AGEN,2010M09,143,2010,9
ACM,AGEN,2010M10,129,2010,10
ACM,AGEN,2010M11,123,2010,11
ACM,AGEN,2010M12,104,2010,12
ACM,AGEN,2011M01,3102,2011,1
ACM,AGEN,2011M02,3089,2011,2
ACM,AGEN,2011M03,3100,2011,3
ACM,AGEN,2011M04,3091,2011,4
ACM,AGEN,2011M05,3102,2011,5
ACM,AGEN,2011M06,3086,2011,6
ACM,AGEN,2011M07,3091,2011,7
ACM,AGEN,2011M08,2984,2011,8
ACM,AGEN,2011M09,3099,2011,9
ACM,AGEN,2011M10,3101,2011,10
ACM,AGEN,2011M11,3091,2011,11
ACM,AGEN,2011M12,3052,2011,12
ACM,AGEN,2012M01,2974,2012,1
ACM,AGEN,2012M02,2977,2012,2
ACM,AGEN,2012M03,2993,2012,3
ACM,AGEN,2012M04,2973,2012,4
ACM,AGEN,2012M05,2963,2012,5
ACM,AGEN,2012M06,2981,2012,6
ACM,AGEN,2012M07,2979,2012,7
ACM,AGEN,2012M08,2881,2012,8
ACM,AGEN,2012M09,2977,2012,9
ACM,AGEN,2012M10,2988,2012,10
ACM,AGEN,2012M11,2974,2012,11
ACM,AGEN,2012M12,2936,2012,12
ACM,AGEN,2013M01,3267,2013,1
ACM,AGEN,2013M02,3257,2013,2
ACM,AGEN,2013M03,3266,2013,3
ACM,AGEN,2013M04,3278,2013,4
ACM,AGEN,2013M05,3261,2013,5
ACM,AGEN,2013M06,3268,2013,6
ACM,AGEN,2013M07,3278,2013,7
ACM,AGEN,2013M08,3206,2013,8
ACM,AGEN,2013M09,3269,2013,9
ACM,AGEN,2013M10,3279,2013,10
ACM,AGEN,2013M11,3252,2013,11
ACM,AGEN,2013M12,3224,2013,12
ACM,AGEN,2014M01,2883,2014,1
ACM,AGEN,2014M02,2880,2014,2
ACM,AGEN,2014M03,2899,2014,3
ACM,AGEN,2014M04,2896,2014,4
ACM,AGEN,2014M05,2890,2014,5
ACM,AGEN,2014M06,2952,2014,6
ACM,AGEN,2014M07,2912,2014,7
ACM,AGEN,2014M08,2812,2014,8
ACM,AGEN,2014M09,2902,2014,9
ACM,AGEN,2014M10,2897,2014,10
ACM,AGEN,2014M11,2884,2014,11
ACM,AGEN,2014M12,2860,2014,12
ACM,AGEN,2015M01,2831,2015,1
ACM,AGEN,2015M02,2822,2015,2
ACM,AGEN,2015M03,2835,2015,3
ACM,AGEN,2015M04,2821,2015,4
ACM,AGEN,2015M05,2807,2015,5
ACM,AGEN,2015M06,2831,2015,6
ACM,AGEN,2015M07,2836,2015,7
ACM,AGEN,2015M08,2735,2015,8
ACM,AGEN,2015M09,2851,2015,9
ACM,AGEN,2015M10,2828,2015,10
ACM,AGEN,2015M11,2815,2015,11
ACM,AGEN,2015M12,2801,2015,12
ACM,AGEN,2016M01,2700,2016,1
ACM,AGEN,2016M02,2701,2016,2
ACM,AGEN,2016M03,2709,2016,3
ACM,AGEN,2016M04,2709,2016,4
ACM,AGEN,2016M05,2704,2016,5
ACM,AGEN,2016M06,2709,2016,6
ACM,AGEN,2016M07,2695,2016,7
ACM,AGEN,2016M08,2583,2016,8
ACM,AGEN,2016M09,2709,2016,9
ACM,AGEN,2016M10,2696,2016,10
ACM,AGEN,2016M11,2691,2016,11
ACM,AGEN,2016M12,2672,2016,12
ACM,AGEN,2017M01,2632,2017,1
ACM,AGEN,2017M02,2620,2017,2
ACM,AGEN,2017M03,2651,2017,3
ACM,AGEN,2017M04,2615,2017,4
ACM,AGEN,2017M05,2637,2017,5
ACM,AGEN,2017M06,2632,2017,6
ACM,AGEN,2017M07,2598,2017,7
ACM,AGEN,2017M08,2522,2017,8
ACM,AGEN,2017M09,2619,2017,9
ACM,AGEN,2017M10,2629,2017,10
ACM,AGEN,2017M11,2616,2017,11
ACM,AGEN,2017M12,2581,2017,12
ACM,AGEN,2018M01,2847,2018,1
ACM,AGEN,2018M02,2817,2018,2
ACM,AGEN,2018M03,2849,2018,3
ACM,AGEN,2018M04,2835,2018,4
ACM,AGEN,2018M05,2837,2018,5
ACM,AGEN,2018M06,2836,2018,6
ACM,AGEN,2018M07,2863,2018,7
ACM,AGEN,2018M08,2764,2018,8
ACM,AGEN,2018M09,2850,2018,9
ACM,AGEN,2018M10,2867,2018,10
ACM,AGEN,2018M11,2840,2018,11
ACM,AGEN,2018M12,2808,2018,12
ACM,AGEN,2019M01,96,2019,1
ACM,AGEN,2019M02,85,2019,2
ACM,AGEN,2019M03,109,2019,3
ACM,AGEN,2019M04,83,2019,4
ACM,AGEN,2019M05,90,2019,5
ACM,AGEN,2019M06,102,2019,6
ACM,AGEN,2019M07,134,2019,7
ACM,AGEN,2019M08,59,2019,8
ACM,AGEN,2019M09,117,2019,9
ACM,AGEN,2019M10,98,2019,10
ACM,AGEN,2019M11,82,2019,11
ACM,AGEN,2019M12,53,2019,12
ACM,AGEN,2020M01,108,2020,1
ACM,AGEN,2020M02,76,2020,2
ACM,AGEN,2020M03,47,2020,3
ACM,AGEN,2020M04,1,2020,4
ACM,AJACCIO,2010M01,729,2010,1
